opportunity_id,sales_agent_id,product_id,account_id,deal_stage,engage_date,close_date,close_value
1C1I7A6R,4,5,8,Won,2016-10-20,2017-03-01,1054.0
Z063OYW0,9,1,38,Won,2016-10-25,2017-03-11,4514.0
EC4QE1BX,9,2,8,Won,2016-10-25,2017-03-07,50.0
MV1LWRNH,4,0,10,Won,2016-10-25,2017-03-09,588.0
PE84CX4O,32,0,34,Won,2016-10-25,2017-03-02,517.0
ZNBS69V1,0,2,58,Won,2016-10-29,2017-03-01,49.0
9ME3374G,23,2,40,Won,2016-10-30,2017-03-02,57.0
7GN8Q4LL,26,0,9,Won,2016-11-01,2017-03-07,601.0
OLK9LKZB,8,5,84,Won,2016-11-01,2017-03-03,1026.0
HAXMC4IX,29,3,,Engaging,2016-11-03,,
NL3JZH1Z,0,2,3,Won,2016-11-04,2017-03-10,53.0
KWVA7VR1,7,1,27,Lost,2016-11-04,2017-03-18,0.0
S8DX3XOU,29,4,69,Won,2016-11-04,2017-03-10,5169.0
ENB2XD8G,33,4,64,Won,2016-11-04,2017-03-06,4631.0
09YE9QOV,25,3,23,Won,2016-11-05,2017-03-11,3393.0
3F5MZNEH,24,2,64,Lost,2016-11-05,2017-03-03,0.0
M6WEJXC0,24,3,60,Won,2016-11-05,2017-03-06,3284.0
6PTR7VBR,2,2,72,Won,2016-11-06,2017-03-05,61.0
902REDPA,17,1,77,Lost,2016-11-07,2017-03-09,0.0
5J9CMGDV,27,2,57,Won,2016-11-07,2017-03-08,46.0
JJXRR8R6,29,4,20,Lost,2016-11-07,2017-03-17,0.0
WF4HA5NW,4,2,58,Won,2016-11-07,2017-03-18,50.0
C5K2JP1H,11,5,74,Won,2016-11-07,2017-03-11,1014.0
ADRB8OMB,9,0,75,Won,2016-11-08,2017-03-26,561.0
SBCR987L,31,0,82,Won,2016-11-10,2017-03-23,590.0
UP409DSB,33,3,25,Engaging,2016-11-10,,
JSD4APT2,2,2,3,Won,2016-11-10,2017-03-12,61.0
AO9Z2D17,11,4,77,Lost,2016-11-10,2017-03-11,0.0
5M58DTJK,27,2,9,Won,2016-11-11,2017-03-05,58.0
KNY1OSAB,33,1,45,Won,2016-11-11,2017-03-14,4899.0
EAZDUUM9,13,3,83,Lost,2016-11-11,2017-03-01,0.0
2STUSOFE,2,2,14,Won,2016-11-11,2017-03-03,67.0
JYKM0B00,29,1,76,Won,2016-11-12,2017-03-06,4338.0
KU28360J,30,0,20,Won,2016-11-12,2017-03-19,578.0
N4SD17JR,20,0,0,Won,2016-11-12,2017-03-01,556.0
E67P9Y3Q,24,0,32,Won,2016-11-12,2017-03-03,635.0
AT3MMVIS,15,3,70,Won,2016-11-12,2017-03-07,3045.0
REJ11LRY,14,5,48,Won,2016-11-13,2017-03-14,1233.0
ERV0CAZ7,2,2,84,Won,2016-11-13,2017-03-09,60.0
8SOQADK7,0,2,29,Lost,2016-11-14,2017-03-30,0.0
TCHFT25B,9,0,65,Lost,2016-11-14,2017-03-08,0.0
CZVN09WN,9,5,44,Won,2016-11-14,2017-03-20,1170.0
EG7OFLFR,31,0,,Engaging,2016-11-14,,
30UQWUKB,6,5,27,Won,2016-11-15,2017-03-20,1162.0
OLVI7L8M,18,1,,Engaging,2016-11-16,,
97UN20YY,9,3,12,Won,2016-11-16,2017-03-14,3725.0
JXLERZ9O,30,0,30,Won,2016-11-16,2017-03-31,559.0
6ROE69W5,24,0,53,Lost,2016-11-16,2017-03-11,0.0
0DFXFKT7,9,5,59,Lost,2016-11-17,2017-03-21,0.0
XKMZVSN4,29,4,64,Won,2016-11-17,2017-03-05,4667.0
IU8V0BZK,6,5,22,Won,2016-11-17,2017-03-17,903.0
XY42936P,33,5,23,Won,2016-11-17,2017-03-13,1180.0
XRN54MBM,8,0,58,Won,2016-11-17,2017-03-05,487.0
2V848WZD,3,3,65,Won,2016-11-18,2017-03-04,3180.0
ONYNTUCG,9,1,24,Lost,2016-11-19,2017-03-17,0.0
HIOHX80Y,9,3,29,Won,2016-11-19,2017-03-18,3563.0
F5U1ACDD,31,5,,Engaging,2016-11-19,,
LPKT07PV,21,1,52,Won,2016-11-20,2017-03-23,4704.0
WPB2SLIG,19,4,62,Won,2016-11-20,2017-03-14,5585.0
XUSUEAV7,27,6,82,Won,2016-11-20,2017-03-09,25897.0
ZZY4516R,25,3,,Engaging,2016-11-20,,
3TYPII47,31,5,31,Won,2016-11-20,2017-03-03,1207.0
7WAX8Z8O,3,3,8,Lost,2016-11-20,2017-03-08,0.0
MYDUMR3R,3,0,56,Won,2016-11-20,2017-03-04,559.0
0DRC1U9Q,33,0,32,Engaging,2016-11-20,,
37JFKD4I,8,5,14,Won,2016-11-20,2017-03-09,1033.0
25YKPHX8,19,0,41,Won,2016-11-21,2017-03-21,462.0
BXXMA7F3,25,3,49,Lost,2016-11-21,2017-03-01,0.0
GIUUTBXM,30,1,78,Won,2016-11-21,2017-03-14,5539.0
MFX2LR1Q,3,3,58,Won,2016-11-21,2017-03-15,3573.0
DUHE9FLY,6,1,12,Won,2016-11-21,2017-03-01,4926.0
96BSG7R1,32,5,69,Lost,2016-11-21,2017-03-17,0.0
7FQMSWIX,12,2,4,Won,2016-11-22,2017-03-04,62.0
C20AVXN7,9,1,29,Won,2016-11-22,2017-03-14,4359.0
GS1QVWCR,31,0,54,Won,2016-11-22,2017-03-31,566.0
ZWH8FXY3,6,0,71,Won,2016-11-22,2017-03-03,508.0
2U94Y3Q9,13,3,74,Lost,2016-11-22,2017-03-20,0.0
AAR79NOO,2,2,10,Won,2016-11-22,2017-03-11,51.0
B6B0PNR2,23,1,13,Won,2016-11-22,2017-03-05,4899.0
M7I5O9YU,12,0,9,Engaging,2016-11-23,,
LXZA2OSZ,12,4,51,Won,2016-11-23,2017-03-03,5790.0
N0ONCYVZ,19,2,42,Lost,2016-11-23,2017-03-30,0.0
GYB4W2AU,27,3,,Engaging,2016-11-23,,
513DPFX5,7,1,10,Won,2016-11-23,2017-03-03,4438.0
RU023K5W,7,3,22,Won,2016-11-23,2017-03-17,2972.0
VDIU10RV,26,2,46,Engaging,2016-11-23,,
BZCBQ514,26,0,78,Won,2016-11-23,2017-03-01,523.0
HEE6P0QH,0,3,66,Won,2016-11-24,2017-03-25,3647.0
L8CHRJ2B,18,3,73,Won,2016-11-24,2017-03-01,4200.0
579LZ3F9,17,5,40,Engaging,2016-11-24,,
SU8JNMP4,31,5,7,Engaging,2016-11-24,,
V2X2KMUR,31,5,21,Won,2016-11-24,2017-03-28,1059.0
AJIPJP75,6,5,10,Lost,2016-11-24,2017-03-05,0.0
NYVA2G6U,2,2,18,Won,2016-11-24,2017-03-02,57.0
FF45BXTL,23,3,43,Won,2016-11-24,2017-03-27,3671.0
TTA9LYBS,0,2,72,Won,2016-11-25,2017-03-01,58.0
PAGZQH8L,1,3,72,Won,2016-11-25,2017-03-06,3956.0
J7YF6DS7,12,4,1,Won,2016-11-25,2017-03-01,5964.0
S5IXY4Z9,12,1,1,Won,2016-11-25,2017-03-06,4570.0
JQBJMETQ,9,2,15,Won,2016-11-25,2017-03-27,49.0
0LVWSWEW,11,2,17,Won,2016-11-25,2017-03-06,65.0
K53BC1T9,0,2,15,Lost,2016-11-26,2017-03-27,0.0
D40N5I9Y,9,1,22,Won,2016-11-26,2017-03-08,4739.0
051QTX8Z,8,5,28,Won,2016-11-26,2017-03-21,1080.0
5D2XH04S,20,2,55,Won,2016-11-26,2017-03-12,57.0
V9E582SK,14,0,43,Won,2016-11-27,2017-03-16,469.0
UK0LEZRJ,30,0,11,Won,2016-11-27,2017-03-03,532.0
PFFHM7HR,26,3,52,Engaging,2016-11-27,,
IT10CFQH,24,0,43,Won,2016-11-27,2017-03-26,538.0
8VKD2CCH,13,1,47,Won,2016-11-27,2017-03-21,4829.0
2XQAKBXH,32,4,16,Won,2016-11-27,2017-03-11,5370.0
7G7YLGJO,32,4,34,Won,2016-11-27,2017-03-21,6499.0
GCA97W27,9,5,27,Won,2016-11-28,2017-03-06,1161.0
K8FUZHOG,30,0,60,Won,2016-11-28,2017-03-26,576.0
5WJZMULK,33,5,34,Won,2016-11-28,2017-03-19,979.0
ZPYD4T9W,2,2,65,Won,2016-11-28,2017-03-07,43.0
KE9ZEDS8,7,2,61,Won,2016-11-29,2017-03-07,57.0
7KK0HQ4C,3,2,58,Lost,2016-11-29,2017-03-28,0.0
FP7014Z0,3,5,24,Won,2016-11-29,2017-03-12,948.0
N4HFHDMW,15,3,55,Won,2016-11-29,2017-03-10,3012.0
2HFLKREC,18,3,83,Won,2016-11-30,2017-03-15,3665.0
7JVTTVCO,11,0,26,Won,2016-11-30,2017-03-24,564.0
3X13866U,0,5,14,Lost,2016-12-01,2017-03-06,0.0
7LE19SYE,18,3,36,Won,2016-12-01,2017-03-22,3463.0
J5V2M7Y1,12,0,26,Won,2016-12-01,2017-03-26,513.0
41MURAI5,12,0,43,Won,2016-12-01,2017-03-28,590.0
QHI8WRIA,9,1,18,Won,2016-12-01,2017-03-30,4511.0
AJXAXV4W,3,3,22,Lost,2016-12-01,2017-03-02,0.0
VPDXX5PJ,8,0,8,Won,2016-12-01,2017-03-26,546.0
PZB9NUK8,23,2,78,Won,2016-12-01,2017-03-05,46.0
A0ANOYPF,9,1,58,Won,2016-12-02,2017-03-09,4891.0
0P4AAPYX,25,5,30,Won,2016-12-02,2017-03-03,1040.0
O6T5WC3W,25,5,64,Won,2016-12-02,2017-03-04,1108.0
0NO04P6C,25,2,49,Won,2016-12-02,2017-03-04,59.0
22OFSXBT,5,1,66,Won,2016-12-02,2017-03-30,5406.0
MRXZTMM6,30,0,9,Won,2016-12-02,2017-03-20,515.0
LGI8QEC2,4,0,72,Won,2016-12-02,2017-03-06,583.0
6KZ0NCFX,2,2,24,Won,2016-12-02,2017-03-14,54.0
3SF8O9S6,23,2,54,Won,2016-12-02,2017-03-27,60.0
CNM0H9FR,32,0,,Engaging,2016-12-02,,
XK668R7C,9,0,18,Lost,2016-12-03,2017-03-12,0.0
TZCAQWL3,9,1,24,Lost,2016-12-03,2017-03-19,0.0
BADC6A9H,9,0,28,Won,2016-12-03,2017-03-23,516.0
B8E0UUZR,9,1,56,Won,2016-12-03,2017-03-22,4829.0
I043RXJV,4,5,18,Lost,2016-12-03,2017-03-17,0.0
MWWB44CC,20,5,17,Won,2016-12-03,2017-03-02,950.0
HBTINPDG,23,5,76,Lost,2016-12-03,2017-03-09,0.0
DZ3KHZSX,12,0,36,Won,2016-12-04,2017-03-20,513.0
3W1K7X5F,9,1,11,Lost,2016-12-04,2017-03-09,0.0
45A57X68,9,4,58,Won,2016-12-04,2017-03-12,5522.0
9SLYC4TR,7,2,8,Won,2016-12-04,2017-03-09,56.0
JLWKWQYC,29,1,16,Won,2016-12-04,2017-03-08,5673.0
7QC6FOKW,31,0,76,Won,2016-12-04,2017-03-10,598.0
XA184CMW,6,4,56,Won,2016-12-04,2017-03-16,5787.0
S0N7BYU3,33,5,63,Won,2016-12-04,2017-03-08,1070.0
6WOMHAJM,21,3,17,Won,2016-12-05,2017-03-14,3677.0
G1QGATKV,18,4,51,Won,2016-12-05,2017-03-30,5425.0
UAE5ZC7O,17,4,,Engaging,2016-12-05,,
6XFVQI32,19,3,79,Won,2016-12-05,2017-03-23,3415.0
JUCNIG4H,29,0,,Engaging,2016-12-05,,
OGD4MDJ9,33,5,46,Won,2016-12-05,2017-03-21,891.0
4NGBUZWJ,3,0,10,Won,2016-12-06,2017-03-12,609.0
EFG5DGV5,26,2,54,Won,2016-12-06,2017-03-16,54.0
82MM4H33,32,5,45,Won,2016-12-06,2017-03-09,1049.0
14PM641K,18,5,26,Won,2016-12-07,2017-03-07,1152.0
DSBGHOPN,17,2,55,Lost,2016-12-07,2017-03-20,0.0
1YSOZLHF,17,1,73,Won,2016-12-07,2017-03-28,4799.0
E8RP9FRW,7,2,14,Won,2016-12-07,2017-03-12,51.0
787IRG9Q,25,3,40,Won,2016-12-07,2017-03-03,3426.0
0TUS4NAC,5,2,56,Won,2016-12-07,2017-03-11,51.0
FAJTQMUM,31,0,23,Won,2016-12-07,2017-03-20,564.0
TWF0J0DF,1,4,38,Won,2016-12-08,2017-03-01,5882.0
ICMXZOVL,17,1,65,Engaging,2016-12-08,,
UQ14O415,19,1,55,Won,2016-12-08,2017-03-20,5059.0
IBEUTCSW,29,3,,Engaging,2016-12-08,,
O3KC8QI8,31,5,,Engaging,2016-12-08,,
BOJSLNDG,31,3,63,Won,2016-12-08,2017-03-11,3388.0
WALNFJ70,30,4,,Engaging,2016-12-08,,
DASMR0EK,26,4,82,Won,2016-12-08,2017-03-10,5410.0
A76M0OOH,20,5,80,Won,2016-12-08,2017-03-28,978.0
E1VKE2PH,23,2,60,Won,2016-12-08,2017-03-26,54.0
SKY95DVG,0,2,2,Lost,2016-12-09,2017-03-22,0.0
V5OK4V5I,18,0,7,Won,2016-12-09,2017-03-14,549.0
GJ4L5HHN,12,5,48,Won,2016-12-09,2017-03-14,1034.0
9R8JWY3J,19,1,74,Won,2016-12-09,2017-03-03,4998.0
0EOFVU05,19,3,51,Won,2016-12-09,2017-03-28,3421.0
HNHOPL7M,30,4,16,Won,2016-12-09,2017-03-04,5425.0
Y0NYI17R,23,2,13,Won,2016-12-09,2017-03-15,55.0
R4F4RGAL,11,3,62,Won,2016-12-09,2017-03-14,3558.0
MNVMY83P,18,1,55,Engaging,2016-12-10,,
0ZHLQFGU,31,1,5,Won,2016-12-10,2017-03-22,4839.0
40DPY158,26,2,35,Won,2016-12-10,2017-03-25,47.0
DP9E525R,33,5,20,Won,2016-12-10,2017-03-24,1007.0
DBDUMQQK,8,2,37,Won,2016-12-10,2017-03-24,48.0
CNBN12RL,2,2,72,Won,2016-12-10,2017-03-07,49.0
OXL0YWEE,11,0,48,Won,2016-12-10,2017-03-18,504.0
ZOBJHMAF,18,3,,Engaging,2016-12-11,,
KD6MB4AP,27,2,,Engaging,2016-12-11,,
5CSSZJF4,5,0,22,Won,2016-12-11,2017-03-21,543.0
0XG8TOJF,30,4,20,Lost,2016-12-11,2017-03-18,0.0
IIS0O91J,30,1,20,Won,2016-12-11,2017-03-28,5149.0
2LP5SUR5,3,0,72,Lost,2016-12-11,2017-03-09,0.0
PYZZ3IS6,26,5,5,Won,2016-12-11,2017-03-11,1043.0
5I4K5TQE,18,4,68,Lost,2016-12-12,2017-03-09,0.0
RV3LPOYP,29,0,11,Won,2016-12-12,2017-03-29,437.0
A194RP0I,24,3,,Engaging,2016-12-12,,
1HVNTEPV,13,1,42,Won,2016-12-12,2017-03-11,4465.0
LC85AQ1I,23,0,43,Won,2016-12-12,2017-03-18,443.0
TBV972NP,11,2,68,Lost,2016-12-12,2017-03-23,0.0
EJMX0EIJ,9,4,2,Won,2016-12-13,2017-03-20,4278.0
VR9NYBOV,14,2,42,Won,2016-12-13,2017-03-06,41.0
3U25FK08,5,0,38,Won,2016-12-13,2017-03-28,519.0
KV2OFRJT,31,1,,Engaging,2016-12-13,,
CRLK4Z1P,33,0,41,Won,2016-12-13,2017-03-04,524.0
OGENAT0L,32,0,63,Won,2016-12-13,2017-03-27,552.0
F57JWIDF,7,5,44,Won,2016-12-14,2017-03-02,970.0
ERFRHR3Z,25,3,,Engaging,2016-12-14,,
J53D8EOL,30,5,35,Engaging,2016-12-14,,
LF8JZ3Q5,30,5,34,Won,2016-12-14,2017-03-13,1046.0
MRGBSMQ5,30,5,69,Won,2016-12-14,2017-03-14,988.0
CBAV8ZJL,3,0,10,Won,2016-12-14,2017-03-22,547.0
J32XDDAW,26,0,,Engaging,2016-12-14,,
NN4DWBVN,33,1,63,Lost,2016-12-14,2017-03-04,0.0
6JXHEZYK,2,2,38,Won,2016-12-14,2017-03-31,54.0
WDHNR2EI,11,2,62,Won,2016-12-14,2017-03-20,57.0
4K750D6F,11,2,79,Won,2016-12-14,2017-03-18,55.0
94GI0ZJ7,0,4,65,Won,2016-12-15,2017-03-15,5765.0
TODG6DEK,17,0,4,Won,2016-12-15,2017-03-16,639.0
G0ECB8FS,30,1,45,Won,2016-12-15,2017-03-15,5100.0
1ZDDZD8B,26,2,,Engaging,2016-12-15,,
96MZYUY0,23,1,20,Won,2016-12-15,2017-03-07,4906.0
EZVKSQ9C,21,4,27,Engaging,2016-12-16,,
RJYG004O,17,0,15,Engaging,2016-12-16,,
JZOKHHWN,19,5,52,Won,2016-12-16,2017-03-07,1037.0
EH6I67I0,29,0,53,Won,2016-12-16,2017-03-15,537.0
JUUXF02Z,30,1,34,Won,2016-12-16,2017-03-09,4694.0
OT87JDWO,3,0,44,Won,2016-12-16,2017-03-24,560.0
YHKT6YJ7,4,0,14,Won,2016-12-16,2017-03-13,589.0
H78I3TAY,20,0,48,Won,2016-12-16,2017-03-14,493.0
1ROC43JK,2,2,2,Won,2016-12-16,2017-03-08,50.0
LPZLQL48,23,0,78,Won,2016-12-16,2017-03-28,492.0
PYOFK7ZD,18,0,,Engaging,2016-12-17,,
DWUXMAGZ,12,4,,Engaging,2016-12-17,,
3KR50X38,12,5,43,Won,2016-12-17,2017-03-13,1255.0
Q3WLHRE9,9,0,66,Won,2016-12-17,2017-03-04,463.0
IX7UEOAP,19,5,36,Lost,2016-12-17,2017-03-27,0.0
NQU62K1H,19,0,81,Won,2016-12-17,2017-03-12,605.0
NAQKOU0T,25,5,20,Won,2016-12-17,2017-03-20,1315.0
I3V3GUAI,3,0,84,Won,2016-12-17,2017-03-02,559.0
PN4VJDXY,4,0,59,Won,2016-12-17,2017-03-28,557.0
K9D4DQ3R,13,2,74,Won,2016-12-17,2017-03-02,48.0
9X6V79KE,2,4,38,Won,2016-12-17,2017-03-25,6282.0
6SN2RQJX,23,2,,Engaging,2016-12-17,,
W1KLFNE4,0,3,38,Won,2016-12-18,2017-03-02,3246.0
NKPH3EFG,18,3,,Engaging,2016-12-18,,
GD2OCW12,9,0,22,Won,2016-12-18,2017-03-14,514.0
6XO4RYXK,19,5,62,Won,2016-12-18,2017-03-15,1132.0
18Y7GRPW,14,4,62,Won,2016-12-18,2017-03-21,5918.0
127ZPLXQ,30,1,35,Lost,2016-12-18,2017-03-18,0.0
U07C2HEG,33,2,41,Lost,2016-12-18,2017-03-14,0.0
RNTOJ78L,24,2,34,Lost,2016-12-18,2017-03-13,0.0
N07K7DR7,13,2,53,Engaging,2016-12-18,,
NLB4D5BQ,2,3,29,Won,2016-12-18,2017-03-24,2955.0
FCFDJIEZ,23,1,20,Won,2016-12-18,2017-03-21,3742.0
YZGDW4G1,11,2,36,Won,2016-12-18,2017-03-14,64.0
G8AO5FA2,15,3,36,Lost,2016-12-18,2017-03-27,0.0
125VIRMX,27,6,75,Engaging,2016-12-19,,
LXXW3TRW,27,5,60,Won,2016-12-19,2017-03-18,1164.0
8KJ3H262,27,2,63,Won,2016-12-19,2017-03-07,65.0
88POGNEL,7,5,8,Lost,2016-12-19,2017-03-07,0.0
UYP3NNU6,31,0,33,Won,2016-12-19,2017-03-16,441.0
S1V8684Y,6,5,22,Lost,2016-12-19,2017-03-12,0.0
MOPWEMB5,23,1,34,Won,2016-12-19,2017-03-16,4907.0
L62MDI48,0,3,38,Lost,2016-12-20,2017-03-01,0.0
3ECHUPQY,17,5,,Engaging,2016-12-20,,
3EL8D4WO,9,3,10,Won,2016-12-20,2017-03-25,3269.0
VOAN1NXG,19,0,42,Won,2016-12-20,2017-03-12,579.0
ALW92XQL,7,0,38,Lost,2016-12-20,2017-03-25,0.0
TJ6ZA1M3,30,0,13,Lost,2016-12-20,2017-03-07,0.0
FKAFO8O9,30,2,76,Won,2016-12-20,2017-03-31,51.0
1XBC7M9F,26,2,21,Won,2016-12-20,2017-03-08,64.0
8IXBS90G,13,2,19,Won,2016-12-20,2017-03-08,60.0
2X45BEOS,18,5,25,Won,2016-12-21,2017-03-27,1186.0
EQ8X0QTL,12,3,79,Won,2016-12-21,2017-03-09,3577.0
5QD53WHF,17,5,17,Won,2016-12-21,2017-03-07,1020.0
K5CWSFCW,27,1,5,Engaging,2016-12-21,,
79EABK3X,25,2,82,Won,2016-12-21,2017-03-23,53.0
2DKO9X1T,5,0,59,Lost,2016-12-21,2017-03-10,0.0
IBDEQVBN,30,0,21,Lost,2016-12-21,2017-03-28,0.0
QZ3VV4C1,30,1,69,Won,2016-12-21,2017-03-08,4719.0
62AK8UWX,4,0,10,Won,2016-12-21,2017-03-22,546.0
5QM4ORNT,8,5,15,Won,2016-12-21,2017-03-21,1212.0
4H2QMS78,23,0,,Engaging,2016-12-21,,
S91N9YBL,23,0,69,Lost,2016-12-21,2017-03-08,0.0
44H0FJMH,0,4,3,Lost,2016-12-22,2017-03-27,0.0
N5AZLQZR,7,4,18,Won,2016-12-22,2017-03-14,5533.0
4T295XQL,31,3,23,Won,2016-12-22,2017-03-01,3295.0
YFS5KLJJ,24,2,23,Won,2016-12-22,2017-03-31,45.0
S8GLKDB9,11,2,4,Won,2016-12-22,2017-03-04,56.0
SQLYCFGV,32,1,52,Engaging,2016-12-22,,
EUG019AS,12,0,,Engaging,2016-12-23,,
IE7VQ5BA,17,5,22,Engaging,2016-12-23,,
01QKN578,9,1,24,Won,2016-12-23,2017-03-20,4247.0
M0JKP0HT,7,3,38,Won,2016-12-23,2017-03-13,3440.0
ZC3KKSUK,29,1,53,Won,2016-12-23,2017-03-02,5040.0
3X8VLQ5G,5,0,8,Won,2016-12-23,2017-03-12,469.0
EZLXL6GL,4,2,38,Won,2016-12-23,2017-03-07,58.0
R8PEL8V8,1,3,38,Won,2016-12-24,2017-03-16,2955.0
L1R32S8H,12,4,11,Won,2016-12-24,2017-03-26,5228.0
J7N8J8NM,9,3,71,Won,2016-12-24,2017-03-14,3358.0
TO7PGVP1,27,4,32,Lost,2016-12-24,2017-03-29,0.0
A051G1B4,5,0,10,Won,2016-12-24,2017-03-31,517.0
NMDMM5YJ,4,0,18,Won,2016-12-24,2017-03-03,615.0
LWPJEV3U,8,0,15,Lost,2016-12-24,2017-03-10,0.0
I93ZFHEM,2,2,11,Won,2016-12-24,2017-03-08,62.0
B2VJCVBB,9,4,38,Won,2016-12-25,2017-03-13,4711.0
F90O03ZH,19,1,42,Lost,2016-12-25,2017-03-23,0.0
PC78RLUX,14,0,79,Won,2016-12-25,2017-03-30,510.0
X6GL64T5,7,1,75,Won,2016-12-25,2017-03-25,4891.0
OWM3BPGW,25,5,32,Won,2016-12-25,2017-03-17,926.0
RP5PS9A5,3,2,2,Won,2016-12-25,2017-03-10,56.0
AI76U58A,33,0,72,Engaging,2016-12-25,,
KFPM2LJW,24,0,,Engaging,2016-12-25,,
F2PW7WP2,11,2,51,Won,2016-12-25,2017-03-05,47.0
GK8YD2XW,9,0,56,Lost,2016-12-26,2017-03-23,0.0
U4LRR9E9,29,4,49,Won,2016-12-26,2017-03-10,6490.0
B00UMAV4,31,3,29,Engaging,2016-12-26,,
C8TV7R8A,30,1,,Engaging,2016-12-26,,
9N55D1AH,8,3,72,Won,2016-12-26,2017-03-02,3841.0
2VCDVCIZ,30,0,,Engaging,2016-12-27,,
WI4PODA2,30,4,21,Won,2016-12-27,2017-03-15,5256.0
VF1V41RI,26,2,41,Lost,2016-12-27,2017-03-28,0.0
1B4L7TNG,26,3,64,Lost,2016-12-27,2017-03-25,0.0
